room_id,property_id,room_number,room_type,floor,capacity,view_type,size_sqm,base_price_per_night,amenities,last_renovation
PROP006_R0026,PROP006,26,Standard,2,4,Sea View,83,275,TV|WiFi|Gym Access|Balcony|Mini Bar|Hairdryer|Spa|Bathrobe,2017
PROP006_R0027,PROP006,27,Standard,5,3,Standard,89,278,Heating|Parking|Pool Access|Desk|Bathrobe|Spa,2023
PROP006_R0028,PROP006,28,Family,4,1,Standard,89,119,Heating|TV|Gym Access|Safe|AC|Spa|Bathrobe|Balcony|Hairdryer|Desk|Parking,2024
PROP006_R0029,PROP006,29,Standard,2,4,Mountain View,81,367,Hairdryer|Balcony|TV|WiFi|AC|Iron|Heating,2019
PROP006_R0030,PROP006,30,Suite,2,4,City View,22,292,Safe|Iron|Desk|Breakfast Included|Gym Access|Balcony|Parking,2016
PROP007_R0001,PROP007,1,Standard,3,1,Garden View,43,272,Balcony|Heating|Safe|Parking|Mini Bar|TV|AC|Hairdryer,2017
PROP007_R0002,PROP007,2,Family,5,4,Garden View,94,53,Gym Access|Safe|Mini Bar|Desk|Hairdryer|TV|Bathrobe,2015
PROP007_R0003,PROP007,3,Standard,1,2,City View,70,111,AC|Safe|Bathrobe|Mini Bar|Parking|Iron,2018
PROP007_R0004,PROP007,4,Family,5,3,Mountain View,27,75,WiFi|Spa|Safe|Balcony|Parking|Hairdryer|Desk|Iron|Breakfast Included|Pool Access|Gym Access,2021
PROP007_R0005,PROP007,5,Standard,3,4,Standard,89,459,Heating|Desk|WiFi|TV|Spa|Pool Access|Iron|Mini Bar|Breakfast Included|Bathrobe|Parking|AC,2020
PROP007_R0006,PROP007,6,Standard,3,3,Garden View,39,162,Bathrobe|Heating|TV|Gym Access|Balcony|Desk|AC|Hairdryer|Breakfast Included|Spa,2016
PROP007_R0007,PROP007,7,Deluxe,3,1,Sea View,33,369,Spa|Heating|AC|WiFi|Parking|Pool Access|Mini Bar|Safe|Breakfast Included|Balcony|Hairdryer|Iron,2024
PROP007_R0008,PROP007,8,Standard,3,2,Mountain View,96,308,Gym Access|Spa|Balcony|Iron|Bathrobe|Parking|Desk|WiFi,2016
PROP007_R0009,PROP007,9,Standard,4,2,Sea View,24,456,Spa|Breakfast Included|Mini Bar|Gym Access|WiFi|Desk|Parking|TV|Balcony|Heating|Hairdryer|Safe,2016
PROP007_R0010,PROP007,10,Deluxe,4,2,Standard,59,179,Balcony|Desk|Gym Access|Bathrobe|Pool Access|Hairdryer|WiFi,2021
PROP007_R0011,PROP007,11,Standard,1,3,Standard,92,322,Desk|Balcony|Parking|AC|Pool Access|Iron|Spa|Safe,2019
PROP007_R0012,PROP007,12,Standard,5,3,Mountain View,68,118,Parking|AC|Pool Access|Gym Access|Bathrobe|Balcony,2020
PROP007_R0013,PROP007,13,Suite,2,4,Sea View,97,422,Bathrobe|Balcony|WiFi|Hairdryer|TV|Heating|Gym Access|Spa,2023
PROP007_R0014,PROP007,14,Suite,4,1,Sea View,95,84,Parking|Gym Access|Mini Bar|Iron|Heating|Pool Access|Hairdryer,2019
PROP007_R0015,PROP007,15,Family,5,4,Garden View,83,398,TV|Desk|Mini Bar|Parking|Spa|WiFi|Gym Access|Hairdryer|AC|Breakfast Included,2024
PROP007_R0016,PROP007,16,Standard,3,1,Standard,33,365,TV|Parking|Safe|Bathrobe|Mini Bar,2024
PROP007_R0017,PROP007,17,Standard,2,1,Standard,24,388,TV|Heating|Balcony|Safe|Desk,2024
PROP007_R0018,PROP007,18,Deluxe,4,2,Garden View,61,138,Spa|WiFi|Mini Bar|Desk|AC|Breakfast Included|Iron,2022
PROP007_R0019,PROP007,19,Deluxe,3,4,Mountain View,57,402,Parking|Pool Access|Desk|Breakfast Included|Iron|Balcony|Mini Bar|Spa|WiFi|Gym Access|AC,2023
PROP007_R0020,PROP007,20,Suite,2,3,City View,44,194,TV|Balcony|Pool Access|Gym Access|Heating|Spa|Iron|Bathrobe|Mini Bar|Safe,2019
PROP007_R0021,PROP007,21,Family,5,3,Sea View,97,358,Pool Access|Breakfast Included|Parking|Balcony|Hairdryer|Iron|Desk|Mini Bar|Safe|Gym Access|TV|Spa,2020
PROP007_R0022,PROP007,22,Family,4,3,Mountain View,89,183,Balcony|Parking|AC|Mini Bar|Safe|TV|Pool Access|Bathrobe|Gym Access|Desk,2017
PROP007_R0023,PROP007,23,Standard,3,3,Sea View,83,64,Mini Bar|Desk|AC|Gym Access|Spa,2019
PROP007_R0024,PROP007,24,Family,4,1,Garden View,46,469,Pool Access|Hairdryer|Balcony|Parking|Iron|Bathrobe|Heating|AC,2024
PROP007_R0025,PROP007,25,Penthouse,5,1,City View,46,488,Spa|WiFi|Safe|Balcony|Breakfast Included|Hairdryer|Desk|Iron,2016
PROP007_R0026,PROP007,26,Standard,4,4,Sea View,29,54,TV|AC|Safe|Bathrobe|Heating|WiFi|Balcony|Desk|Pool Access|Gym Access,2022
PROP007_R0027,PROP007,27,Family,4,1,Standard,50,352,Mini Bar|Gym Access|Parking|Safe|WiFi|AC|TV|Breakfast Included,2023
PROP007_R0028,PROP007,28,Suite,1,4,Garden View,75,64,Hairdryer|Iron|TV|Heating|WiFi|Pool Access|Spa,2017
PROP007_R0029,PROP007,29,Suite,3,1,Standard,66,373,WiFi|Parking|Mini Bar|Hairdryer|AC,2020
PROP007_R0030,PROP007,30,Suite,3,2,Mountain View,55,341,TV|Iron|Heating|Balcony|Spa|Parking|Breakfast Included|AC|Gym Access|Bathrobe|Desk|Mini Bar,2019
PROP008_R0001,PROP008,1,Suite,2,3,Standard,39,60,Safe|Bathrobe|Parking|Mini Bar|TV,2018
PROP008_R0002,PROP008,2,Penthouse,2,4,Sea View,65,412,Hairdryer|Balcony|Gym Access|AC|Pool Access|Safe|Bathrobe|Heating|Iron|Breakfast Included|Spa,2018
PROP008_R0003,PROP008,3,Standard,1,1,Sea View,79,220,Bathrobe|Breakfast Included|Spa|TV|Parking|Gym Access|Desk|WiFi|Mini Bar,2020
PROP008_R0004,PROP008,4,Family,2,4,Garden View,24,425,Breakfast Included|Spa|Parking|Heating|Pool Access,2023
PROP008_R0005,PROP008,5,Standard,3,3,Sea View,50,427,Mini Bar|Gym Access|TV|Breakfast Included|Bathrobe|Heating,2022
PROP008_R0006,PROP008,6,Standard,2,3,Standard,97,345,Desk|Pool Access|TV|Balcony|Spa|Bathrobe|Breakfast Included|Mini Bar|AC|Parking|Safe|Iron,2020
PROP008_R0007,PROP008,7,Suite,1,3,City View,65,150,AC|Hairdryer|Balcony|Iron|Breakfast Included|Mini Bar,2023
PROP008_R0008,PROP008,8,Penthouse,2,2,Garden View,73,362,Safe|Hairdryer|Balcony|Spa|AC|TV|Breakfast Included,2024
PROP008_R0009,PROP008,9,Standard,4,2,Mountain View,59,448,Iron|Bathrobe|WiFi|Spa|Heating|Balcony,2021
PROP008_R0010,PROP008,10,Deluxe,4,1,Standard,28,251,Iron|Safe|Bathrobe|Parking|Desk,2015
PROP008_R0011,PROP008,11,Suite,4,1,Sea View,60,340,WiFi|Desk|Breakfast Included|Mini Bar|AC|TV|Pool Access|Gym Access|Iron,2023
PROP008_R0012,PROP008,12,Deluxe,1,1,Sea View,94,343,TV|WiFi|Parking|Pool Access|Heating|Desk,2021
PROP008_R0013,PROP008,13,Standard,3,2,Mountain View,53,396,Iron|Hairdryer|Pool Access|TV|AC|Safe|Balcony|Heating|Gym Access|WiFi|Desk,2023
PROP008_R0014,PROP008,14,Deluxe,4,3,Mountain View,70,231,Spa|Hairdryer|WiFi|Bathrobe|Iron|Parking|TV,2023
PROP008_R0015,PROP008,15,Standard,4,3,Garden View,89,393,Spa|Breakfast Included|TV|Gym Access|Heating|Parking|Iron|AC|WiFi|Pool Access|Bathrobe,2021
PROP008_R0016,PROP008,16,Standard,5,1,Mountain View,41,203,Spa|Breakfast Included|AC|Hairdryer|Mini Bar,2015
PROP008_R0017,PROP008,17,Standard,4,1,City View,90,386,Spa|Desk|WiFi|Pool Access|TV,2018
PROP008_R0018,PROP008,18,Penthouse,5,1,Garden View,82,238,AC|Heating|Balcony|Parking|Breakfast Included|Mini Bar|Gym Access|Safe,2018
PROP008_R0019,PROP008,19,Standard,3,3,City View,32,264,Spa|Pool Access|Parking|Hairdryer|WiFi|Balcony|Mini Bar,2017
PROP008_R0020,PROP008,20,Deluxe,4,4,Mountain View,81,81,AC|Gym Access|Safe|Hairdryer|Pool Access|Balcony|Iron|Desk|Bathrobe|TV|Heating|Breakfast Included,2017
PROP008_R0021,PROP008,21,Deluxe,5,1,Standard,49,193,Spa|Hairdryer|Breakfast Included|Parking|Desk|Heating|TV|WiFi|Pool Access|Iron|Bathrobe|Gym Access,2017
PROP008_R0022,PROP008,22,Deluxe,4,2,City View,97,420,Balcony|Breakfast Included|Gym Access|Safe|AC|Spa|Hairdryer|Desk,2023
PROP008_R0023,PROP008,23,Deluxe,2,2,Garden View,57,484,Balcony|Pool Access|Safe|Mini Bar|Bathrobe,2015
PROP008_R0024,PROP008,24,Standard,1,1,Standard,74,408,Pool Access|Spa|Breakfast Included|Gym Access|Parking|WiFi|Hairdryer|Mini Bar,2016
PROP008_R0025,PROP008,25,Suite,4,2,Sea View,53,429,Pool Access|TV|Breakfast Included|Balcony|Gym Access|Parking|Iron|Spa,2023
PROP008_R0026,PROP008,26,Suite,3,3,Garden View,51,227,Balcony|Gym Access|TV|Spa|Bathrobe|AC|Desk|Iron|Breakfast Included,2020
PROP008_R0027,PROP008,27,Family,3,4,City View,76,296,AC|Mini Bar|Hairdryer|Breakfast Included|Desk|Heating|WiFi|Parking|Pool Access|Safe|TV,2018
PROP008_R0028,PROP008,28,Standard,3,3,Mountain View,91,103,Bathrobe|Mini Bar|Hairdryer|Breakfast Included|Spa|Balcony|Gym Access|Parking,2022
PROP008_R0029,PROP008,29,Standard,4,1,Mountain View,70,146,Gym Access|Desk|Bathrobe|TV|Heating|Iron|Balcony|Spa|Safe|Parking|Hairdryer|WiFi,2023
PROP008_R0030,PROP008,30,Deluxe,1,4,Sea View,54,145,AC|Bathrobe|WiFi|Pool Access|Heating|Safe,2018
PROP009_R0001,PROP009,1,Penthouse,1,4,Mountain View,35,214,WiFi|Breakfast Included|Balcony|Spa|Gym Access|TV|Mini Bar,2024
PROP009_R0002,PROP009,2,Standard,4,2,Sea View,26,379,WiFi|TV|Balcony|Hairdryer|Pool Access|Iron|Safe|Bathrobe|Parking|Spa|Heating|Mini Bar,2023
PROP009_R0003,PROP009,3,Standard,4,3,Standard,38,161,Breakfast Included|Iron|AC|Balcony|Heating|TV|Safe,2024
PROP009_R0004,PROP009,4,Standard,5,4,Standard,79,131,Desk|Parking|Bathrobe|Pool Access|AC|Gym Access|Hairdryer|Spa|Breakfast Included,2018
PROP009_R0005,PROP009,5,Family,3,3,Standard,39,60,AC|TV|Pool Access|Hairdryer|Bathrobe|Balcony,2022
PROP009_R0006,PROP009,6,Standard,1,2,Mountain View,31,69,Gym Access|AC|Spa|Pool Access|Safe,2020
PROP009_R0007,PROP009,7,Deluxe,5,2,City View,72,477,AC|Breakfast Included|Iron|Desk|Mini Bar|Spa,2019
PROP009_R0008,PROP009,8,Standard,1,2,Garden View,43,130,Balcony|Iron|TV|Mini Bar|Safe|WiFi,2017
PROP009_R0009,PROP009,9,Family,3,4,Mountain View,33,58,Pool Access|Mini Bar|Heating|Bathrobe|Desk,2021
PROP009_R0010,PROP009,10,Deluxe,1,1,City View,92,295,Gym Access|Mini Bar|Breakfast Included|Iron|Pool Access|Safe|Balcony|TV|Desk,2017
PROP009_R0011,PROP009,11,Deluxe,1,2,Garden View,45,491,AC|TV|Pool Access|Breakfast Included|Iron|Gym Access|Mini Bar|Hairdryer|Safe|WiFi,2019
PROP009_R0012,PROP009,12,Family,4,2,Standard,94,375,Spa|Gym Access|Balcony|Pool Access|Bathrobe|Heating|Mini Bar|Desk|AC|Hairdryer|Parking|Safe,2018
PROP009_R0013,PROP009,13,Family,1,1,Sea View,60,471,Balcony|Heating|Pool Access|Desk|Safe|Iron,2021
PROP009_R0014,PROP009,14,Standard,3,1,City View,95,136,Breakfast Included|AC|WiFi|Parking|Spa|Gym Access|Bathrobe|Iron|Heating|Hairdryer,2017
PROP009_R0015,PROP009,15,Standard,4,2,Standard,46,362,Hairdryer|AC|WiFi|Iron|Gym Access|Balcony|Bathrobe|Desk|Pool Access|TV|Heating|Breakfast Included,2021
PROP009_R0016,PROP009,16,Standard,1,3,Sea View,31,286,Gym Access|Safe|Pool Access|Heating|Bathrobe|Parking|Iron|Mini Bar,2022
PROP009_R0017,PROP009,17,Deluxe,2,3,Sea View,64,450,Gym Access|Pool Access|Parking|Iron|Hairdryer|Spa,2016
PROP009_R0018,PROP009,18,Deluxe,3,4,Sea View,65,113,Spa|Desk|Safe|TV|Mini Bar|Iron|Breakfast Included|Bathrobe|AC,2017
PROP009_R0019,PROP009,19,Deluxe,3,2,Mountain View,84,356,Bathrobe|Gym Access|Hairdryer|Mini Bar|Pool Access,2020
PROP009_R0020,PROP009,20,Standard,4,3,Sea View,48,198,Hairdryer|TV|Iron|Safe|Mini Bar|Heating|Parking|Gym Access|Breakfast Included|Spa,2020
PROP009_R0021,PROP009,21,Suite,2,3,Garden View,78,344,Safe|Parking|Desk|Hairdryer|TV|Spa|Mini Bar|Breakfast Included|Gym Access|Balcony|Heating,2021
PROP009_R0022,PROP009,22,Deluxe,3,2,Sea View,74,160,Pool Access|Mini Bar|Balcony|Heating|Safe|Hairdryer,2015
PROP009_R0023,PROP009,23,Penthouse,4,2,Standard,75,338,Iron|Bathrobe|Parking|Desk|AC|Pool Access|Spa|Heating,2019
PROP009_R0024,PROP009,24,Standard,2,3,Garden View,81,414,Parking|Desk|Pool Access|Bathrobe|Hairdryer|AC|Spa|Mini Bar|Iron,2023
PROP009_R0025,PROP009,25,Standard,5,1,Sea View,85,122,AC|Bathrobe|Gym Access|Desk|Balcony|Mini Bar|TV|Safe|Breakfast Included|Hairdryer|Pool Access,2020
PROP009_R0026,PROP009,26,Standard,2,1,City View,80,476,Bathrobe|TV|Gym Access|Iron|Pool Access,2016
PROP009_R0027,PROP009,27,Deluxe,1,1,Mountain View,22,278,Balcony|Breakfast Included|TV|Desk|Hairdryer|Bathrobe,2024
PROP009_R0028,PROP009,28,Standard,5,3,Sea View,31,324,Iron|Gym Access|Pool Access|Spa|Safe|Mini Bar|Balcony|Heating,2020
PROP009_R0029,PROP009,29,Standard,1,3,Mountain View,68,494,Breakfast Included|Parking|Pool Access|AC|Bathrobe|Heating|Gym Access|Iron|Mini Bar|TV|Desk|Balcony,2022
PROP009_R0030,PROP009,30,Suite,3,1,City View,66,61,Breakfast Included|Spa|Desk|Hairdryer|Iron|Gym Access|AC|Parking|WiFi|Pool Access|Safe|Bathrobe,2015
PROP010_R0001,PROP010,1,Deluxe,3,4,Mountain View,27,198,Gym Access|Iron|Desk|Breakfast Included|Balcony|Heating,2023
PROP010_R0002,PROP010,2,Suite,2,1,City View,31,192,Hairdryer|Spa|Breakfast Included|Bathrobe|Pool Access|Safe|Heating|Mini Bar|Desk|TV,2015
PROP010_R0003,PROP010,3,Deluxe,5,1,Standard,45,96,Iron|Mini Bar|Pool Access|Hairdryer|WiFi|Breakfast Included|Safe|Parking,2016
PROP010_R0004,PROP010,4,Standard,5,4,City View,42,331,Gym Access|TV|Iron|Breakfast Included|Spa|AC,2019
PROP010_R0005,PROP010,5,Deluxe,4,2,Standard,26,186,Bathrobe|Mini Bar|Pool Access|Iron|AC|Gym Access|Safe|Spa|Heating|Hairdryer,2019
PROP010_R0006,PROP010,6,Standard,5,4,Sea View,78,264,Parking|Gym Access|AC|Breakfast Included|TV|Hairdryer,2017
PROP010_R0007,PROP010,7,Suite,3,3,Garden View,58,451,Bathrobe|Pool Access|Mini Bar|Heating|Hairdryer|Iron|Safe,2017
PROP010_R0008,PROP010,8,Deluxe,4,3,City View,33,208,Gym Access|Spa|Parking|Heating|Bathrobe|TV|Iron,2024
PROP010_R0009,PROP010,9,Deluxe,1,4,Garden View,64,147,WiFi|Spa|Heating|Breakfast Included|Pool Access|Balcony|Safe|Iron|Desk|Gym Access,2022
PROP010_R0010,PROP010,10,Family,4,3,Sea View,74,413,TV|Heating|AC|Mini Bar|WiFi|Breakfast Included|Parking|Desk|Bathrobe|Hairdryer|Spa|Iron,2017
PROP010_R0011,PROP010,11,Deluxe,4,4,City View,23,398,Breakfast Included|Mini Bar|AC|Parking|Balcony|Gym Access|Desk|WiFi|Spa|Bathrobe|Hairdryer|TV,2016
PROP010_R0012,PROP010,12,Deluxe,2,1,Sea View,52,65,AC|Spa|Parking|Gym Access|TV|Iron|Desk|Breakfast Included|Balcony,2024
PROP010_R0013,PROP010,13,Deluxe,3,4,Sea View,74,276,Gym Access|Mini Bar|Heating|Bathrobe|Breakfast Included|Desk|WiFi|TV|Parking|Spa|Pool Access,2017
PROP010_R0014,PROP010,14,Family,3,2,Mountain View,32,190,Mini Bar|TV|Parking|Balcony|Safe|AC|Heating|Pool Access|WiFi,2019
PROP010_R0015,PROP010,15,Deluxe,2,4,Mountain View,58,351,Spa|Heating|Desk|Gym Access|Breakfast Included|Safe|Pool Access,2022
PROP010_R0016,PROP010,16,Deluxe,2,2,City View,81,294,Hairdryer|Pool Access|Spa|AC|Safe|Bathrobe|Iron|Balcony|Parking,2020
PROP010_R0017,PROP010,17,Deluxe,4,4,Garden View,29,463,Safe|Mini Bar|WiFi|Bathrobe|Desk|AC|Spa|Gym Access|TV|Pool Access|Parking|Breakfast Included,2018
PROP010_R0018,PROP010,18,Deluxe,4,3,Garden View,24,114,TV|Parking|Gym Access|Iron|Hairdryer|Balcony|Mini Bar|Heating,2024
PROP010_R0019,PROP010,19,Standard,4,3,Standard,33,425,AC|WiFi|TV|Safe|Spa|Iron|Hairdryer|Heating|Desk|Breakfast Included,2015
PROP010_R0020,PROP010,20,Standard,4,4,Sea View,81,342,Parking|Iron|Safe|TV|Heating|Bathrobe|AC|Gym Access,2019
PROP010_R0021,PROP010,21,Standard,1,1,Standard,98,122,Gym Access|WiFi|Pool Access|Safe|Parking|Breakfast Included|Hairdryer|AC|Balcony|Iron,2018
PROP010_R0022,PROP010,22,Standard,4,1,Garden View,31,236,Parking|Mini Bar|Breakfast Included|Balcony|Safe|Spa,2015
PROP010_R0023,PROP010,23,Family,1,1,Standard,62,429,Breakfast Included|Hairdryer|Pool Access|Desk|Heating|Spa|AC|TV|Iron|WiFi,2016
PROP010_R0024,PROP010,24,Deluxe,1,4,Mountain View,81,382,Desk|Iron|Parking|Heating|Pool Access|Bathrobe|Safe|AC|WiFi|Hairdryer,2017
PROP010_R0025,PROP010,25,Penthouse,4,3,Garden View,23,108,Pool Access|Safe|Desk|Heating|TV|Mini Bar|Spa|Breakfast Included|AC|WiFi,2017
PROP010_R0026,PROP010,26,Deluxe,1,1,Standard,93,156,Desk|Pool Access|Gym Access|Bathrobe|Heating|Breakfast Included|Parking|AC|Safe|Mini Bar|Iron,2024
PROP010_R0027,PROP010,27,Standard,5,2,City View,22,425,WiFi|Hairdryer|Iron|Safe|Parking|Breakfast Included|Balcony|Mini Bar|Bathrobe,2021
PROP010_R0028,PROP010,28,Deluxe,3,1,City View,28,148,Spa|TV|Pool Access|AC|Breakfast Included,2022
PROP010_R0029,PROP010,29,Deluxe,5,1,Standard,54,227,WiFi|Gym Access|Iron|Heating|Pool Access|Mini Bar,2021
PROP010_R0030,PROP010,30,Deluxe,3,1,Mountain View,51,276,TV|Bathrobe|AC|WiFi|Mini Bar|Hairdryer|Iron,2019
